Performance.KDTMean,Performance.MAMean,Performance.MVMean,Performance.TBCMean,Performance.DDCMean,Performance.DMSMean,Performance.AEDMean,Performance.ADMSLMean,FatigueLevel,Performance.Task
-0.0007596441,0.0039315513,0.0134896934,-0.0901224398,0.0071977107,0.0053853095,0.0132871814,0.0236129809,3,1
-0.0005095134,0.0961502157,0.096781365,-0.102984301,0.3422859615,0.0144350078,0.0011813632,0.0071574004,3,1
0.0019000004,0.0465779361,0.051396141,-0.105636726,-0.016907779,0.0038789664,-0.0256264331,0.0203901853,3,1
0.0009137991,-0.0061742459,0.0062528071,-0.0918052413,0.005336985,-0.0086029281,-0.0232113988,-0.0086981487,3,1
0.0010116485,0.0735282307,0.0817434279,-0.1054343874,-0.0359201656,0.0010575884,0.0727618855,-0.0003880105,3,1
-0.0004932995,0.0233303363,0.0352431336,-0.1019989228,-0.0035629985,-0.0036069819,0.0094715806,0.0276564524,3,1
0.0016326927,0.0222495252,0.0326166346,-0.1057372286,0.0370121981,0.0085522081,0.0562497039,0.0114152254,3,1
0.0027160782,-0.0327275074,-0.0207370156,-0.1042155183,0.0104241127,-0.0116525959,0.016250818,-0.0136151332,3,1
0.0057173175,-0.0264523165,-0.009725663,-0.0953535342,0.0558289112,-0.0021285049,0.0127445066,-0.0242473746,3,1
-0.003959657,-0.0767331567,-0.0588328582,-0.0912015758,0.0422144842,-0.0093287377,-0.0252700454,-0.0346303392,3,1
-0.0229554091,-0.0652313057,-0.0517203853,-0.0907206617,0.0066736485,-0.0050614352,0.0856467463,-0.0535402828,4,1
0.0074062195,-0.0780840131,-0.0590165403,-0.077528781,-0.0070178469,-0.0171919293,0.0083633442,-0.0713996334,4,1
0.0054203637,-0.0981951383,-0.0956080404,-0.0966946238,-0.0644266383,-0.0030290247,0.3390463015,-0.0629854972,4,1
0.0044199463,-0.0471871105,-0.0175115636,-0.071381779,0.0345975284,-0.0171990054,-0.0601069766,-0.0418571813,4,1
0.0011305488,0.0494815527,-0.0470860565,-0.0999407186,-0.0388939484,0.0107862239,-0.0549919143,0.0412533237,4,1
-0.0002775554,-0.0075790367,-0.0617379176,-0.0877052138,0.0279996974,0.0202724416,0.0622387999,0.0740373097,4,1
0.1294321325,0.0529574863,0.0205570155,-0.0305168779,0.0151571892,-0.0070658458,-0.0533505169,-0.0139909035,4,1
0.0113252152,-0.0786768847,-0.0635205893,-0.0658125691,0.0443780507,0.0019129884,-0.0402285402,0.0086351501,3,1
0.0030763366,-0.0694951258,-0.0558099322,-0.1056824922,0.0138407655,0.0086511075,0.0160217816,0.0066048468,3,1
0.000074438,-0.0185556606,-0.0062865315,-0.0627497703,-0.0644266383,-0.0021963791,-0.012829867,-0.0261214827,2,1
0.000503312,0.1388356665,0.1254379145,-0.1039694426,0.222456316,0.0055853053,-0.0010284851,0.0449209105,2,1
0.0015694981,0.038427964,0.0422076423,-0.0870613665,0.034277395,-0.0087980492,0.0529109959,-0.0205040507,3,1
0.0038980236,0.0070251132,0.0100797955,-0.0985364824,-0.012679756,0.0013143969,0.0049093132,-0.0229804656,4,1
-0.0005042509,-0.0093759454,0.0029978666,-0.1040139307,0.024292127,-0.0063859439,0.0141489209,-0.0185930134,3,1
0.0273129375,-0.0619477589,-0.0471885167,-0.0489439544,0.0248211089,-0.0034045465,0.0203607036,-0.0299741948,3,1
